page_number,defendant_address,defendant_name,case_status,filling_date,close_date,case_summary,Sector,Industry,Symbol,Status_2,Headquarters,Company_market,Court,Docket,Judge,Date_Filed,Class_Period_Start,Class_Period_End,Plaintiff_firm,Ref_court,Ref_docket,Ref_judge,Ref_date_filed,Ref_class_period_start,Ref_class_period_end,YEAR_FILED,Breach_Fiduciary_Duties,Merger,Proxy_violation,Related_parties,Stock_Drop,Cash_Flow,Revenue_Rec,Net_Income,Customers,Fourth_Quarter,Third_Quarter,Second_Quarter,Press_Release,10K_Filling,10Q_Filling,Corporate_Governance,Conflicts_Interest,Accounting,Fees,Failed_disclose,False_misleading,Commissions,Bankruptcy,Secondary_Offering,IPO,1934_Exchange_Act,Derivative,10b5,1933_Act,Heavy_trading
501,NULL," Galileo Corporation 
								  
",Dismissed,1998-10-21,2001-01-22,NULL," Technology"," Electronic Instruments & Controls"," GAEO"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-12129"," Hon. Regi",1998-10-21,1998-04-28,1998-07-23,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," D. Massachusetts"," 98-CV-12129"," Hon. Reginald C. Lindsay",1999-06-21,1998-04-28,1998-07-23,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
502,NULL," Gast Manufacturing Corporation 
								  
",Dismissed,1998-05-22,1999-02-12,NULL," Capital Goods"," Misc. Capital Goods"," "," Privately Held"," United States"," Privately Traded"," N.D. Illinois"," 98-CV-3182"," Hon. Milt",1998-05-22,1996-08-21,1998-05-22,"Susman & Watkins Two First National Plaza; Suite 600, Susman & Watkins, IL 60603312.346.3466  · "," N.D. Illinois"," 98-CV-3182"," Hon. Milton I. Shadur",1998-08-07,1996-08-21,1998-05-22,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
503,NULL," Saf T Lok, Inc. 
								  
",Settled,1998-07-24,2000-02-14,NULL," Consumer Cyclical"," Auto & Truck Parts"," LOCK"," OTC"," United States"," NASDAQ"," S.D. Florida"," 98-CV-8507"," Hon. Dani",1998-07-24,1998-05-26,1998-06-11,"Goodkind Labaton Rudoff & Sucharow LLP100 Park Avenue, Goodkind Labaton Rudoff & Sucharow LLP, NY 10017212.907.0700 212.818.0477 · info@glrslaw.com"," S.D. Florida"," 98-CV-8507"," Hon. Daniel T. K. Hurley",1999-04-05,1998-05-26,1998-06-11,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
504,NULL," St. John Knits Inc. 
								  
",Settled,1998-10-13,2000-04-25,NULL," Consumer Cyclical"," Apparel/Accessories"," SJK"," Public (Listed)"," United States"," New York SE"," C.D. California"," 98-CV-08322"," Hon. A. A",1998-10-13,1998-02-25,1998-08-25,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," C.D. California"," 99-CV-00457"," Hon. A. A. Hauk",1999-03-15,1998-02-25,1998-08-25,1998,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
506,NULL," Samsonite 
								  
",Settled,1998-08-28,2000-07-26,NULL," Consumer Cyclical"," Apparel/Accessories"," SAMC"," Public (Listed)"," United States"," NASDAQ"," D. Colorado"," 98-CV-1878"," Hon. Rich",1998-08-28,1997-06-04,1998-08-11,"Barrack, Rodos & Bacine (San Diego - former)402 West Broadway , Barrack, Rodos & Bacine (San Diego - former), CA 92101619.230.0800 619.230.1874 · info@barrack.com"," D. Colorado"," 98-CV-1878"," Hon. Richard P. Matsch",2000-05-01,1996-09-10,1998-08-11,1998,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
507,NULL," GST Telecommunications Inc. 
								  
",Dismissed,1999-10-21,2001-07-25,NULL," Services"," Communications Services"," GSTXQ"," Public (Listed)"," United States"," NASDAQ"," W.D. Washington"," 99-CV-5548"," Hon. Fran",1999-10-21,1996-11-04,1998-10-22,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC)1100 New York Avenue, N.W., Suite 500, West Tower, Cohen, Milstein, Hausfeld & Toll, P.L.L.C. (Washington, DC), DC 20005202.408.4600 202.408.4699 · lawinfo@cmht.com"," W.D. Washington"," 99-CV-5548"," Hon. Franklin D. Burgess",2000-03-14,1996-11-04,1998-10-22,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
508,NULL," Acxiom Corporation 
								  
",Dismissed,1999-09-20,2002-09-23,NULL," Technology"," Computer Services"," ACXM"," Public (Listed)"," United States"," NASDAQ"," E.D. Arkansas"," 99-CV-00673"," Hon. Jame",1999-09-20,1999-07-23,1999-08-30,"Cauley & Geller (Boca Raton)2255 Glades Road, #421A, Cauley & Geller (Boca Raton), FL 33431561.750.3000  · "," E.D. Arkansas"," 99-CV-00673"," Hon. James M. Moody",2000-04-17,1999-07-23,1999-08-30,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL
509,NULL," H.J. Meyers, Inc. 
								  
",Settled,1997-09-12,2008-03-06,NULL," Healthcare"," Medical Equipment & Supplies"," PMTI"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 97-CV-6742"," Hon. Rona",1997-09-12,1996-04-29,1997-03-26,"Barrack, Rodos & Bacine (former New York)170 E. 61st Street, Second Floor, Barrack, Rodos & Bacine (former New York), NY 10021212.688.0782 212.688.0783 · info@barrack.com"," S.D. New York"," 97-CV-6742"," Hon. Ronald L. Ellis",1997-11-12,1996-02-01,1997-03-26,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
510,NULL," Schein Pharmaceutical, Inc. 
								  
",Settled,1998-09-14,2000-12-12,NULL," Healthcare"," Biotechnology & Drugs"," SHP"," Public (Listed)"," United States"," New York SE"," D. New Jersey"," 98-CV-4311"," Hon. John",1998-09-14,1998-04-09,1998-09-10,"Cohn, Lifland, Pearlman, Herrmann & KnopfPark 80 Plaza West-One, Cohn, Lifland, Pearlman, Herrmann & Knopf, NJ 7663201845.9600  · info@njlawfirm.com"," D. New Jersey"," 98-CV-4311"," Hon. John C. Lifland",1999-03-29,1998-04-09,1998-09-28,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL
511,NULL," Acres Gaming, Inc. 
								  
",Settled,1997-12-17,2001-06-15,NULL," Technology"," Computer Peripherals"," AGAM"," Public (Listed)"," United States"," NASDAQ"," D. Nevada"," 97-CV-01848"," Hon. Phil",1997-12-17,1997-03-26,1997-12-11,"Stull, Stull & Brody  (Los Angeles)10940 Wilshire Boulevard - Suite 2300, Stull, Stull & Brody  (Los Angeles), CA 90024310.209.2468  · "," D. Nevada"," 97-CV-01848"," Hon. Philip M. Pro",1998-04-28,1997-03-26,1997-12-11,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
