page_number,defendant_address,defendant_name,case_status,filling_date,close_date,case_summary,Sector,Industry,Symbol,Status_2,Headquarters,Company_market,Court,Docket,Judge,Date_Filed,Class_Period_Start,Class_Period_End,Plaintiff_firm,Ref_court,Ref_docket,Ref_judge,Ref_date_filed,Ref_class_period_start,Ref_class_period_end,YEAR_FILED,Breach_Fiduciary_Duties,Merger,Proxy_violation,Related_parties,Stock_Drop,Cash_Flow,Revenue_Rec,Net_Income,Customers,Fourth_Quarter,Third_Quarter,Second_Quarter,Press_Release,10K_Filling,10Q_Filling,Corporate_Governance,Conflicts_Interest,Accounting,Fees,Failed_disclose,False_misleading,Commissions,Bankruptcy,Secondary_Offering,IPO,1934_Exchange_Act,Derivative,10b5,1933_Act,Heavy_trading,Sexual_Misconduct
0,NULL," Network Express, Inc. 
								  
",Dismissed,1996-10-07,1998-03-05,NULL," Services"," Personal Services"," NETK"," Public (Listed)"," United States"," NASDAQ"," E.D. Michigan"," 96-CV-74627"," Hon. Gera",1996-10-07,1995-03-13,1995-10-06,None,None,None,None,1900-01-01,1900-01-01,1900-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,NULL," Oxford Health Plans, Inc. 
								  
",Settled,1997-10-28,2003-06-12,NULL," Financial"," Insurance (Accident & Health)"," OXHP"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 97-CV-2295"," Dominic J",1997-10-28,1996-11-06,1997-10-24,"Harris, Beach & Wilcox, LLPTwo World Trade Center 85th Floor, Harris, Beach & Wilcox, LLP, NY 10048212.687.0100.  · "," S.D. New York"," 21-MC-00076"," Hon. Dominic J. Squatrito",1998-10-02,1996-11-06,1997-12-09,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
2,NULL," Pacific Scientific Company 
								  
",Settled,1996-10-18,1999-05-05,NULL," Capital Goods"," Aerospace & Defense"," PSX"," Public (Listed)"," United States"," New York SE"," C.D. California"," 96-CV-975"," Linda H. ",1996-10-18,1994-10-03,1996-07-02,"Berman DeValerio Pease Tabacco Burt & Pucillo (CA)425 California Street, Suite 2025, Berman DeValerio Pease Tabacco Burt & Pucillo (CA), CA 94104415.433.3200 415.433.6382 · "," C.D. California"," 98-CV-04163"," Hon. Linda H. McLaughlin",1996-12-30,1994-10-03,1996-07-02,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,NULL," Paradigm Technology Inc. 
								  
",Dismissed,1998-05-19,1999-02-12,NULL," Technology"," Semiconductors"," PRDM"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 98-CV-20528"," Ronald M.",1998-05-19,1995-11-20,1996-03-22,"Weiss & Yourman (Los Angeles, CA)10940 Wilshire Blvd - 24th Floor, Weiss & Yourman (Los Angeles, CA), CA 90024310.208.2800 310.209.2348 · info@wyca.com",None,None,None,1900-01-01,1900-01-01,1900-01-01,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,NULL," PathoGenesis Corporation 
								  
",Dismissed,1999-03-24,2002-04-18,NULL," Healthcare"," Biotechnology & Drugs"," PGNS"," Public (Listed)"," United States"," NASDAQ"," W.D. Washington"," 99-CV-0419"," Thomas S.",1999-03-24,1999-01-15,1999-03-22,"Cohen Milstein Hausfeld & Toll PLLC (Seattle WA)701 Fifth Avenue, Suite 6860, Cohen Milstein Hausfeld & Toll PLLC (Seattle WA), WA 98014206.521.0080 206.521.0166 · lawinfo@cmht.com"," W.D. Washington"," 99-CV-0419"," Hon. Thomas S. Zilly",1999-09-10,1999-01-15,1999-03-22,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
5,NULL," Patriot American Hospitality, Inc. 
								  
",Settled,1999-05-07,2005-12-01,NULL," Healthcare"," Healthcare Facilities"," PAH"," Public (Listed)"," United States"," New York SE"," N.D. California"," 99-CV-02153"," Susan Ill",1999-05-07,1997-06-02,1999-05-07,"Cotchett Pitre & SimonSan Francisco Airport Office Center, 840 Malcolm Road, Suite 200, Cotchett Pitre & Simon, CA 94010650.697.6000  · "," N.D. California"," 00-CV-1300"," Hon. Susan Illston",2001-10-15,1997-06-02,1998-12-17,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL
6,NULL," P-Com, Inc. 
								  
",Dismissed,1998-11-13,1999-01-29,NULL," Technology"," Communications Equipment"," PCMS"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 98-CV-04412"," Samuel Co",1998-11-13,1997-04-15,1998-09-11,"Stull, Stull & Brody  (Los Angeles)10940 Wilshire Boulevard - Suite 2300, Stull, Stull & Brody  (Los Angeles), CA 90024310.209.2468  · ",None,None,None,1900-01-01,1900-01-01,1900-01-01,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,NULL," Pediatric Services of America, Inc. 
								  
",Settled,1999-03-11,2002-03-20,NULL," Healthcare"," Healthcare Facilities"," PSAI"," Public (Listed)"," United States"," NASDAQ"," N.D. Georgia"," 99-CV-00670"," Julie E. ",1999-03-11,1997-12-23,1998-07-29,"Carr, Tabb & Pope1355 Peachtree Street, N.E.,  Suite 2000, Carr, Tabb & Pope, GA 30309404.876.7790  · "," N.D. Georgia"," 99-CV-00670"," Hon. Julie E. Carnes",1999-07-22,1997-12-23,1998-07-29,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
63,NULL," Pegasystems Inc. 
								  
",Settled,1997-11-18,2000-12-19,NULL," Technology"," Software & Programming"," PEGA"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 97-CV-12570"," William G",1997-11-18,1997-07-02,1997-11-14,"Shapiro Haber & Urmy LLP (Boston)75 State Street, Shapiro Haber & Urmy LLP (Boston), MA 02109617.439.3939 617.439.0134 · info@shulaw.com"," D. Massachusetts"," 97-CV-12570"," Hon. William G. Young",1998-03-30,1900-01-01,1900-01-01,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
64,NULL," PeopleSoft, Inc. 
								  
",Settled,1999-01-29,2001-09-05,NULL," Technology"," Software & Programming"," PSFT"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 99-CV-00472"," Martin J.",1999-01-29,1997-02-04,1999-01-28,"Abbey Gardy & Squiteri LLP (San Francisco)595 Market Street, Suite 2500, Abbey Gardy & Squiteri LLP (San Francisco), CA 94105415.538.3725  · "," N.D. California"," 99-CV-00472"," Hon. Martin J. Jenkins",1999-12-06,1997-04-22,1999-01-28,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
